timestamp;song_title;artist;year;album;collaborating_artists;spotify_link;streams;daily_streams;screenshot_path;status;failure_reason
20260208_124628;Bagyo;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/0I2ugiLWhuMPSxpmEeRpZA;21185906;0;D:\dev\SB19\OCR\cup_of_joe_bagyo_2025_screenshot_20260208_125900.png;OK;
20260208_124628;Wine;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/2BNoUBAaT0H2IxxdZeQIQu;6347778;0;D:\dev\SB19\OCR\cup_of_joe_wine_2025_screenshot_20260208_125937.png;OK;
20260208_124628;Kanelang Mata;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/2ksChKYUmNwaIRsaIdOLca;3854236;0;D:\dev\SB19\OCR\cup_of_joe_kanelang_mata_2025_screenshot_20260208_130014.png;OK;
20260208_124628;Bubog;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/7n1BbFCtHq4cRA5rXaWOaD;17785512;0;D:\dev\SB19\OCR\cup_of_joe_bubog_2025_screenshot_20260208_130052.png;OK;
20260208_124628;Siping;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/1wBb0ntM6p136xh5Y0btw8;5123380;0;D:\dev\SB19\OCR\cup_of_joe_siping_2025_screenshot_20260208_130130.png;OK;
20260208_124628;Pahina;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/0jGL1ApJ7QrVWL7nRqLdij;77704714;0;D:\dev\SB19\OCR\cup_of_joe_pahina_2025_screenshot_20260208_130208.png;OK;
20260208_124628;'Di Maaari;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/3if1BKuZFDr3nhxhGBtPfG;7277500;0;D:\dev\SB19\OCR\cup_of_joe_di_maaari_2025_screenshot_20260208_130245.png;OK;
20260208_124628;Hinga;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/1GnKxS0EqOON4xiKTVmFJQ;7123678;0;D:\dev\SB19\OCR\cup_of_joe_hinga_2025_screenshot_20260208_130322.png;OK;
20260208_124628;Silakbo;Cup of Joe;2025;Silakbo;;https://open.spotify.com/track/0xW6HjCyIEN81xIKpmp6td;18106185;0;D:\dev\SB19\OCR\cup_of_joe_silakbo_2025_screenshot_20260208_130400.png;OK;
20260208_124628;Sandali;Cup of Joe;2025;Single;;https://open.spotify.com/track/01yAdrgd5cjxUyebfX4VGa;17468523;0;D:\dev\SB19\OCR\cup_of_joe_sandali_2025_screenshot_20260208_130437.png;OK;
20260208_124628;Bagyo - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/55DxXImh8BhfYNFEcKCAQC;528989;0;D:\dev\SB19\OCR\cup_of_joe_bagyo_live_2025_screenshot_20260208_130515.png;OK;
20260208_124628;Wag Na Lang - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/12x7TSP187cLtNrr2BcAjt;534535;0;D:\dev\SB19\OCR\cup_of_joe_wag_na_lang_live_2025_screenshot_20260208_130553.png;OK;
20260208_124628;Patutunguhan - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/7aZUKE6vnjk6xJWTtyqb7Q;472790;0;D:\dev\SB19\OCR\cup_of_joe_patutunguhan_live_2025_screenshot_20260208_130631.png;OK;
20260208_124628;Wine - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/1YxR2PvEQKU0oFOUokfeJm;379590;0;D:\dev\SB19\OCR\cup_of_joe_wine_live_2025_screenshot_20260208_130710.png;OK;
20260208_124628;Kanelang Mata - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/3W2ejWy1OT93GYehErewsW;370021;0;D:\dev\SB19\OCR\cup_of_joe_kanelang_mata_live_2025_screenshot_20260208_130748.png;OK;
20260208_124628;Bubog - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/2qxRtPJyZ2BZgjb4wxXPTF;458875;0;D:\dev\SB19\OCR\cup_of_joe_bubog_live_2025_screenshot_20260208_130827.png;OK;
20260208_124628;Pahina - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/5YsvZYuoJGtsLY41E2UcSn;970319;0;D:\dev\SB19\OCR\cup_of_joe_pahina_live_2025_screenshot_20260208_130905.png;OK;
20260208_124628;Siping - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/6EtDNiyltLziipX02AGT6X;378679;0;D:\dev\SB19\OCR\cup_of_joe_siping_live_2025_screenshot_20260208_130943.png;OK;
20260208_124628;Lahat Ng Bukas - Live;Cup of Joe;2025;Silakbo (Live);Keanna Mag;https://open.spotify.com/track/7svxM2vHiXNSYj0tLDpw66;325564;0;D:\dev\SB19\OCR\cup_of_joe_lahat_ng_bukas_live_2025_screenshot_20260208_131022.png;OK;
20260208_124628;Estranghero - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/7vhFN8mkUQ3h00s4ChV4R1;369352;0;D:\dev\SB19\OCR\cup_of_joe_estranghero_live_2025_screenshot_20260208_131101.png;OK;
20260208_124628;Hayaan - Live;Cup of Joe;2025;Silakbo (Live);;https://open.spotify.com/track/0FvyoJ6Pd4iMaWuDduNfk4;352812;0;D:\dev\SB19\OCR\cup_of_joe_hayaan_live_2025_screenshot_20260208_131139.png;OK;
